거래금액,년,법정동,아파트,월,전용면적,지번,층
"15,000",2015,원미동,대화,1,59.958,58-1,5
"23,300",2015,원미동,두산,1,59.945,151-1,11
"22,800",2015,원미동,두산,1,59.945,151-1,5
"22,300",2015,원미동,심환홈빌리지,1,83.9245,105-2,2
"17,300",2015,원미동,원미동풍림,1,59.892,114-1,1
"30,500",2015,원미동,두산,1,119.3,151-1,8
"33,700",2015,원미동,원미동풍림,1,114.344,114-1,14
"28,000",2015,원미동,두산,1,84.92,151-1,11
"33,500",2015,원미동,원미동풍림,1,114.344,114-1,8
"30,000",2015,원미동,원미동풍림,1,84.744,114-1,15
"12,060",2015,심곡동,다온하브,1,18.914,458-2,10
"27,000",2015,심곡동,태승훼미리,1,84.9921,801,11
"18,000",2015,심곡동,삼융,1,59.2966,389-1,5
"12,960",2015,심곡동,다온하브,1,22.129,458-2,9
"10,530",2015,심곡동,다온하브,1,15.292,458-2,12
"9,990",2015,심곡동,미성로뎀빌,1,25.08,141-16,5
"10,350",2015,심곡동,다온하브,1,15.737,458-2,5
"22,800",2015,심곡동,우민늘사랑APT,1,59.9491,799,10
"6,800",2015,심곡동,정다운가,1,14.88,146-3,5
"9,900",2015,심곡동,미성로뎀빌,1,22.2,141-16,8
"23,500",2015,심곡동,삼융아파트오피스텔,1,84.8617,127-1,3
"19,000",2015,심곡동,일해늘푸른,1,65.55,184-4,10
"12,060",2015,심곡동,다온하브,1,18.914,458-2,11
"11,800",2015,심곡동,"건부A,B동",1,50.52,95-1,5
"14,400",2015,심곡동,다온하브,1,22.129,458-2,6
"27,000",2015,춘의동,하나리아벨,1,83.792,142-5,7
"28,500",2015,춘의동,우남푸르미아,1,73.299,141-2,13
"21,500",2015,춘의동,광성,1,79.75,127,8
"29,800",2015,춘의동,우남푸르미아,1,72.764,141-2,5
"23,200",2015,춘의동,하나리아벨,1,67.976,142-5,5
"33,300",2015,춘의동,우남푸르미아,1,84.741,141-2,11
"12,000",2015,도당동,봉림,1,47.19,48,4
"10,800",2015,도당동,동아,1,47.34,120,1
"9,500",2015,도당동,복사골1(C동),1,43.26,124,4
"10,450",2015,도당동,서초,1,56.62,92-1,6
"13,800",2015,도당동,우남APT,1,52.11,57-1,5
"26,700",2015,도당동,주영홈타운102동,1,79.395,92-10,4
"13,500",2015,도당동,근화,1,55.8,134-2,4
"12,300",2015,도당동,삼보,1,51.57,109,5
"17,000",2015,도당동,근화,1,92.46,134-2,3
"17,000",2015,도당동,성원,1,49.73,266-4,3
"43,400",2015,약대동,부천위브트레지움2단지,1,84.98,209,12
"44,400",2015,약대동,부천위브트레지움2단지,1,84.98,209,14
"47,300",2015,약대동,부천위브트레지움2단지,1,84.98,209,19
"45,750",2015,약대동,부천위브트레지움2단지,1,84.98,209,5
"46,800",2015,약대동,부천위브트레지움2단지,1,84.98,209,16
"59,900",2015,약대동,부천위브트레지움2단지,1,114.98,209,8
"14,000",2015,약대동,우남,1,59.64,119,7
"40,000",2015,약대동,부천위브트레지움2단지,1,84.98,209,17
"23,900",2015,약대동,다청림,1,80.74,161-5,4
"35,300",2015,약대동,부천위브트레지움1단지,1,59.98,196,22
"22,200",2015,약대동,현대,1,70.23,169-6,4
"44,100",2015,약대동,부천위브트레지움2단지,1,84.98,209,6
"13,600",2015,약대동,우남,1,57.8,119,1
"10,870",2015,역곡동,동성,1,41.52,247-2,4
"27,500",2015,역곡동,역곡3차한양수자인(301동),1,84.684,413,5
"30,000",2015,역곡동,대림e-편한세상1차,1,84.97,202-1,2
"28,500",2015,역곡동,역곡4차e-편한세상,1,75.44,407,8
"19,800",2015,역곡동,한국,1,59.67,212-2,16
"41,500",2015,역곡동,"부천동부센트레빌1,2단지",1,120.14,409,14
"29,000",2015,역곡동,역곡3차한양수자인(301동),1,84.953,413,8
"26,000",2015,역곡동,한국,1,84.74,212-2,12
"39,500",2015,역곡동,역곡역이편한세상,1,84.9858,74-2,9
"26,500",2015,역곡동,청도포그니에,1,84.7,111-2,9
"25,800",2015,역곡동,역곡5차e-편한세상,1,59.95,408,11
"27,500",2015,역곡동,"부천동부센트레빌1,2단지",1,59.66,409,12
"18,000",2015,역곡동,예원,1,64.17,204,2
"29,000",2015,역곡동,역곡4차e-편한세상,1,75.44,407,11
"17,300",2015,역곡동,예원,1,61.11,204,4
"19,500",2015,역곡동,한국,1,59.67,212-2,17
"26,800",2015,역곡동,역곡1차한양수자인101동,1,84.921,412,2
"20,300",2015,역곡동,조은센스빌(52-19),1,73.87,52-19,3
"12,500",2015,역곡동,현진,1,56.7,98-2,5
"11,000",2015,역곡동,한도(7-8동),1,43.12,25-32,3
"30,900",2015,역곡동,대림e-편한세상1차,1,84.97,202-1,8
"23,000",2015,역곡동,역곡5차e-편한세상,1,59.95,408,1
"28,000",2015,역곡동,"부천동부센트레빌1,2단지",1,59.5,409,11
"35,700",2015,역곡동,"부천동부센트레빌1,2단지",1,84.99,409,7
"18,950",2015,역곡동,한국,1,59.67,212-2,5
"14,700",2015,역곡동,역곡현대,1,56.58,산51-18,4
"30,000",2015,역곡동,대림e-편한세상1차,1,84.97,202-1,3
"32,000",2015,역곡동,"부천동부센트레빌1,2단지",1,84.99,409,2
"24,400",2015,역곡동,대명앙뜨레빌,1,83.103,414,1
"19,000",2015,역곡동,일두,1,55.95,75,2
"28,000",2015,역곡동,우림루미아트,1,73.2727,202,10
"38,700",2015,역곡동,역곡역이편한세상,1,84.9858,74-2,7
"37,500",2015,역곡동,동부센트레빌3단지,1,96.5,411,10
"27,500",2015,역곡동,덕현해밀,1,80.45,84-2,5
"26,300",2015,역곡동,대명앙뜨레빌,1,83.103,414,8
"26,000",2015,역곡동,대명앙뜨레빌,1,83.103,414,4
"28,500",2015,역곡동,대림e-편한세상3차,1,84.7,213-25,8
"27,000",2015,역곡동,역곡5차e-편한세상,1,59.95,408,6
"23,800",2015,역곡동,동보프리미아(100-6),1,69.89,100-6,1
"27,500",2015,역곡동,역곡4차e-편한세상,1,59.95,407,7
"19,750",2015,역곡동,한국,1,59.67,212-2,18
"28,300",2015,역곡동,대림e-편한세상3차,1,73.53,213-25,6
"31,450",2015,역곡동,세창짜임,1,84.7,114,9
"26,000",2015,역곡동,동부센트레빌3단지,1,59.5,411,2
"62,572",2015,중동,리첸시아중동,1,117.38,1116,58
"25,800",2015,중동,미리내마을(롯데2),1,64.08,1180-1,15
"44,800",2015,중동,팰리스카운티,1,84.989,1288,25
"41,000",2015,중동,그린타운(삼성),1,133.47,1182,2
"14,900",2015,중동,금강마을(주공),1,41.85,1029,15
"32,200",2015,중동,보람마을(아주),1,84.94,1172,24
"29,800",2015,중동,무지개마을(LG),1,84.9,1175-2,9
"22,000",2015,중동,미리내마을(삼성),1,54,1178,18
"21,500",2015,중동,덕유마을(주공3),1,58.74,1040,18
"34,300",2015,중동,팰리스카운티,1,59.9798,1288,20
"44,700",2015,중동,팰리스카운티,1,84.989,1288,21
"33,500",2015,중동,미리내마을(한양),1,84.9,1179,22
"21,400",2015,중동,미리내마을(동성아파트),1,52.88,1181,11
"32,500",2015,중동,미리내마을(롯데2),1,84.99,1180-1,14
"33,500",2015,중동,꿈마을(서안),1,84.96,1102,11
"44,000",2015,중동,그린타운(우성1),1,167.835,1182,5
"37,500",2015,중동,연화마을(쌍용),1,134.07,1101,4
"8,950",2015,중동,복사골,1,41.01,715-2,1
"14,500",2015,중동,중흥마을(주공),1,37.67,1052,7
"62,623",2015,중동,리첸시아중동,1,140.61,1116,11
"28,000",2015,중동,미리내마을(롯데2),1,64.08,1180-1,7
"39,950",2015,중동,팰리스카운티,1,84.989,1288,8
"39,500",2015,중동,팰리스카운티,1,84.989,1288,14
"45,000",2015,중동,팰리스카운티,1,84.989,1288,25
"20,800",2015,중동,복사골아파트,1,56.58,1186,7
"13,500",2015,중동,한라마을(주공2),1,41.85,1028,2
"25,300",2015,중동,연화마을(쌍용),1,60,1101,3
"32,300",2015,중동,연화마을(대원),1,84.97,1100,3
"12,900",2015,중동,형진,1,46.47,732-1,1
"12,000",2015,중동,중흥마을(주공),1,37.67,1052,6
"24,200",2015,중동,덕유마을(주공4),1,59.98,1041,15
"21,300",2015,중동,한라마을(주공3),1,58.14,1027,8
"62,632",2015,중동,리첸시아중동,1,117.38,1116,40
"20,400",2015,중동,한라마을(주공3),1,59.93,1027,18
"20,500",2015,중동,한라마을(주공3),1,59.98,1027,1
"41,800",2015,중동,"위브더스테이트(801,802,803동)",1,84.96,1112,11
"14,800",2015,중동,금강마을(주공),1,42.75,1029,25
"21,000",2015,중동,한라마을(주공3),1,58.14,1027,11
"63,998",2015,중동,리첸시아중동,1,140.61,1116,15
"23,500",2015,중동,한라마을(주공3),1,59.93,1027,9
"13,800",2015,중동,미리내마을(롯데1),1,33.54,1178,4
"64,804",2015,중동,리첸시아중동,1,117.38,1116,53
"15,400",2015,중동,금강마을(주공),1,41.85,1029,2
"13,500",2015,중동,한라마을(주공2),1,41.85,1028,13
"74,536",2015,중동,리첸시아중동,1,140.61,1116,52
"30,000",2015,중동,보람마을(동남),1,84.94,1173-1,8
"14,300",2015,중동,동원(805-6),1,49.16,805-6,1
"20,800",2015,중동,은하마을(주공1),1,49.67,1039,20
"36,850",2015,중동,중흥마을(신동아),1,101.88,1055,10
"24,950",2015,중동,미리내마을(동성아파트),1,78.08,1181,1
"16,800",2015,중동,미리내마을(삼성),1,42.51,1178,14
"14,300",2015,중동,한라마을(주공2),1,41.85,1028,7
"30,500",2015,중동,미리내마을(한양),1,84.9,1179,2
"20,500",2015,중동,한라마을(주공3),1,58.14,1027,3
"18,300",2015,중동,금강마을(주공),1,42.75,1029,8
"19,450",2015,중동,은하마을(주공1),1,49.69,1039,12
"14,400",2015,중동,한라마을(주공3),1,39.99,1027,11
"24,300",2015,중동,은하마을(주공2),1,58.74,1038,15
"25,000",2015,중동,무지개마을(동신),1,59.49,1176-2,10
"31,200",2015,중동,포도마을(삼보),1,75.195,1170,4
"29,000",2015,중동,보람마을(아주),1,84.94,1172,7
"14,400",2015,중동,설악마을(주공),1,44.1,1051,7
"22,000",2015,중동,한라마을(주공3),1,59.98,1027,5
"18,000",2015,중동,덕유마을(주공3),1,47.4,1040,4
"23,900",2015,중동,덕유마을(주공4),1,59.98,1041,17
"14,400",2015,중동,금강마을(주공),1,41.85,1029,2
"32,800",2015,중동,미리내마을(한양),1,84.9,1179,17
"18,350",2015,중동,금강마을(주공),1,42.75,1029,7
"29,000",2015,중동,포도마을(영남),1,75.195,1170,18
"13,600",2015,중동,미리내마을(삼성),1,33.54,1178,4
"30,700",2015,중동,미리내마을(한양),1,84.9,1179,17
"17,400",2015,중동,미리내마을(금호),1,41.85,1179,11
"30,500",2015,중동,팰리스카운티,1,59.9798,1288,2
"33,900",2015,중동,팰리스카운티,1,59.9798,1288,24
"11,260",2015,중동,현대(772-2),1,43.47,772-2,4
"11,300",2015,중동,현대(772-2),1,43.47,772-2,1
"14,300",2015,중동,미리내마을(롯데1),1,33.54,1178,8
"14,200",2015,중동,미리내마을(롯데1),1,42.51,1178,1
"20,230",2015,중동,연화마을(건영),1,53.58,1099-2,10
"21,600",2015,중동,덕유마을(주공3),1,58.74,1040,15
"23,600",2015,중동,덕유마을(주공3),1,58.74,1040,6
"15,900",2015,중동,금강마을(주공),1,42.75,1029,7
"39,000",2015,중동,연화마을(대원),1,127.06,1100,13
"21,800",2015,중동,은하마을(주공1),1,49.69,1039,8
"13,500",2015,중동,설악마을(주공),1,44.1,1051,1
"17,300",2015,중동,미리내마을(우성),1,42.51,1178,7
"30,000",2015,중동,미리내마을(롯데2),1,71.56,1180-1,8
"22,700",2015,중동,한라마을(주공3),1,59.98,1027,7
"15,000",2015,중동,설악마을(주공),1,44.1,1051,4
"21,300",2015,중동,한라마을(주공3),1,58.14,1027,3
"14,200",2015,중동,미리내마을(우성),1,33.54,1178,7
"14,600",2015,중동,한라마을(주공2),1,41.85,1028,5
"16,300",2015,중동,미리내마을(한양),1,41.09,1179,4
"17,300",2015,중동,연화마을(건영),1,53.58,1099-2,1
"14,000",2015,중동,한라마을(주공2),1,41.85,1028,2
"14,550",2015,중동,중흥마을(주공),1,37.67,1052,12
"41,200",2015,중동,은하마을(효성),1,101.88,1036,7
"14,500",2015,중동,설악마을(주공),1,44.1,1051,10
"74,536",2015,중동,리첸시아중동,1,140.61,1116,50
"62,572",2015,중동,리첸시아중동,1,117.38,1116,57
"63,752",2015,중동,리첸시아중동,1,117.38,1116,61
"15,250",2015,중동,한라마을(주공2),1,41.85,1028,12
"22,750",2015,중동,한라마을(주공3),1,59.98,1027,9
"17,250",2015,중동,미리내마을(금호),1,41.85,1179,5
"31,900",2015,중동,무지개마을(동신),1,84.6,1176-2,6
"15,000",2015,중동,금강마을(주공),1,42.75,1029,25
"63,564",2015,중동,리첸시아중동,1,117.38,1116,45
"22,500",2015,중동,은하마을(주공1),1,49.69,1039,8
"42,000",2015,중동,은하마을(동부),1,134.67,1037,15
