거래금액,년,법정동,아파트,월,전용면적,지번,층
"38,840",2015,분당동,장안타운(건영),1,70.68,66,11
"55,000",2015,분당동,샛별마을(우방),1,84.99,38,3
"50,800",2015,분당동,샛별마을(삼부),1,84.6,39,10
"75,000",2015,분당동,샛별마을(우방),1,133.86,38,18
"34,000",2015,분당동,샛별마을(라이프),1,58.17,34,10
"38,000",2015,분당동,장안타운(건영),1,70.68,66,14
"34,000",2015,분당동,샛별마을(우방),1,57.28,38,10
"35,000",2015,분당동,샛별마을(삼부),1,59.82,39,2
"33,800",2015,분당동,샛별마을(우방),1,57.28,38,8
"46,500",2015,분당동,샛별마을(동성),1,84.82,35,2
"39,750",2015,분당동,장안타운(건영),1,70.68,66,8
"36,300",2015,분당동,샛별마을(우방),1,57.28,38,10
"31,500",2015,분당동,샛별마을(삼부),1,59.82,39,1
"47,300",2015,분당동,장안타운(건영),1,85,66,9
"51,250",2015,분당동,샛별마을(라이프),1,89.8,34,19
"56,500",2015,분당동,샛별마을(우방),1,84.99,38,3
"29,900",2015,분당동,장안타운(건영),1,53.72,66,7
"27,500",2015,분당동,장안타운(건영),1,53.72,66,13
"26,500",2015,분당동,장안타운(건영),1,53.72,66,14
"59,000",2015,분당동,장안타운(건영),1,131.55,66,18
"50,900",2015,분당동,샛별마을(우방),1,84.99,38,1
"40,000",2015,분당동,장안타운(건영),1,70.68,66,8
"39,500",2015,분당동,장안타운(건영),1,70.68,66,8
"60,000",2015,분당동,샛별마을(우방),1,101.96,38,12
"32,500",2015,수내동,양지마을(5단지)(한양515-529),1,59.4,24,17
"33,900",2015,수내동,양지마을(5단지)(한양515-529),1,59.4,24,6
"33,600",2015,수내동,양지마을(5단지)(한양515-529),1,59.4,24,13
"82,000",2015,수내동,파크타운(삼익),1,134.413,54,9
"60,000",2015,수내동,파크타운(롯데),1,101.91,55,2
"59,000",2015,수내동,양지마을(5단지)(한양515-529),1,84.9,24,14
"57,500",2015,수내동,푸른마을(벽산),1,101.82,71,2
"81,000",2015,수내동,파크타운(대림),1,134.413,51,4
"64,000",2015,수내동,양지마을(5단지)(한양515-529),1,134.55,24,3
"55,000",2015,수내동,푸른마을(쌍용),1,84.72,75,12
"34,900",2015,수내동,파크타운(서안),1,59.32,52,16
"98,000",2015,수내동,파크타운(서안),1,186.099,52,5
"75,000",2015,수내동,파크타운(서안),1,134.71,52,14
"72,500",2015,수내동,푸른마을(벽산),1,131.4,71,9
"23,500",2015,수내동,양지마을(5단지)(한양501-514),1,35.1,24,8
"80,000",2015,수내동,파크타운(서안),1,134.413,52,14
"48,500",2015,수내동,푸른마을(신성),1,84.72,73,1
"52,000",2015,수내동,파크타운(롯데),1,101.835,55,1
"74,000",2015,수내동,양지마을(3단지)(금호),1,134.48,27,9
"20,900",2015,수내동,양지마을(5단지)(한양501-514),1,35.1,24,1
"26,400",2015,수내동,양지마을(5단지)(한양501-514),1,42.56,24,14
"72,500",2015,수내동,양지마을(2단지)(청구),1,134.8,36,2
"73,000",2015,수내동,파크타운(삼익),1,134.91,54,7
"63,000",2015,수내동,푸른마을(벽산),1,101.82,71,5
"34,000",2015,수내동,양지마을(5단지)(한양515-529),1,59.4,24,7
"82,000",2015,수내동,양지마을(금호1),1,133.82,34,7
"55,800",2015,수내동,양지마을(2단지)(청구),1,84.99,36,3
"78,500",2015,수내동,파크타운(대림),1,131.49,51,10
"62,600",2015,수내동,양지마을(2단지)(청구),1,84.6,36,5
"70,000",2015,수내동,푸른마을(신성),1,131.4,73,5
"70,000",2015,수내동,파크타운(대림),1,131.49,51,1
"53,800",2015,수내동,파크타운(서안),1,84.6,52,4
"34,500",2015,수내동,양지마을(5단지)(한양515-529),1,59.4,24,20
"75,000",2015,수내동,파크타운(대림),1,134.91,51,29
"75,500",2015,수내동,푸른마을(벽산),1,176.77,71,15
"23,400",2015,수내동,양지마을(5단지)(한양501-514),1,35.1,24,9
"52,400",2015,수내동,양지마을(5단지)(한양515-529),1,84.9,24,10
"68,500",2015,수내동,파크타운(대림),1,101.835,51,10
"65,000",2015,수내동,파크타운(롯데),1,101.91,55,4
"75,500",2015,수내동,푸른마을(쌍용),1,163.83,75,5
"85,000",2015,수내동,양지마을(금호1),1,133.82,34,5
"58,000",2015,수내동,양지마을(5단지)(한양515-529),1,101.93,24,2
"63,500",2015,수내동,양지마을(3단지)(금호),1,101.91,27,3
"70,000",2015,수내동,양지마을(2단지)(청구),1,134.8,36,2
"36,000",2015,수내동,푸른마을(쌍용),1,59.78,75,1
"69,500",2015,수내동,파크타운(삼익),1,101.835,54,11
"72,000",2015,수내동,파크타운(대림),1,131.49,51,5
"157,000",2015,정자동,파크뷰,1,182.232,6,19
"22,950",2015,정자동,한솔마을(6단지)(주공),1,37.67,117,4
"47,500",2015,정자동,느티마을(3단지)(공무원),1,58.71,88,10
"40,500",2015,정자동,정든마을(8단지)(한진),1,68.04,192,2
"109,000",2015,정자동,파크뷰,1,139.68,6,4
"58,800",2015,정자동,정든마을(6단지)(한진),1,99.6,191,7
"72,700",2015,정자동,상록마을(우성)1,1,129.72,121,6
"51,200",2015,정자동,상록마을(우성)1,1,69.12,121,4
"22,800",2015,정자동,한솔마을(4단지)(주공),1,41.85,102,4
"23,700",2015,정자동,한솔마을(4단지)(주공),1,41.85,102,8
"23,500",2015,정자동,한솔마을(6단지)(주공),1,37.67,117,5
"27,000",2015,정자동,정든마을(6단지)(우성),1,48.84,198,9
"89,500",2015,정자동,현대I-PARK3,1,156.03,11,24
"21,800",2015,정자동,한솔마을(4단지)(주공),1,36,102,6
"49,000",2015,정자동,한솔마을(1단지)(청구),1,84.965,110,19
"39,800",2015,정자동,한솔마을(3단지)(한일),1,59.96,107,9
"35,900",2015,정자동,정든마을(7단지)(한진),1,49.5,194,6
"20,500",2015,정자동,한솔마을(4단지)(주공),1,35.28,102,12
"24,700",2015,정자동,한솔마을(4단지)(주공),1,42.75,102,25
"99,000",2015,정자동,현대I-PARK2,1,162.01,10-1,8
"22,200",2015,정자동,한솔마을(6단지)(주공),1,37.67,117,3
"148,500",2015,정자동,파크뷰,1,182.232,6,11
"55,500",2015,정자동,정든마을(4단지)(우성),1,129.72,197,4
"22,000",2015,정자동,한솔마을(6단지)(주공),1,37.67,117,4
"27,000",2015,정자동,정든마을(2단지)(동아),1,48.84,198,13
"64,300",2015,정자동,상록마을(라이프1차),1,159.26,124,8
"50,900",2015,정자동,느티마을(4단지)(공무원),1,67.43,90,8
"106,000",2015,정자동,파크뷰,1,139.717,6,14
"47,800",2015,정자동,정든마을(8단지)(한진),1,68.04,192,13
"36,800",2015,정자동,상록마을(우성)1,1,55.14,121,15
"65,500",2015,정자동,성원상떼뷰101동,1,84.95,12-3,7
"86,300",2015,정자동,파크뷰,1,84.99,6,8
"29,000",2015,정자동,한솔마을(5단지)(주공),1,42.75,112,14
"26,800",2015,정자동,한솔마을(4단지)(주공),1,42.75,102,12
"24,000",2015,정자동,한솔마을(4단지)(주공),1,41.85,102,10
"67,000",2015,정자동,상록마을(우성)1,1,101.98,121,4
"25,300",2015,정자동,한솔마을(5단지)(주공),1,41.85,112,5
"130,000",2015,정자동,파크뷰,1,162.869,6,29
"23,300",2015,정자동,한솔마을(4단지)(주공),1,41.85,102,5
"44,500",2015,정자동,정든마을(8단지)(한진),1,68.04,192,17
"22,500",2015,정자동,한솔마을(4단지)(주공),1,41.85,102,13
