거래금액,년,법정동,아파트,월,전용면적,지번,층
"26,000",2015,파장동,북수원아이파크,1,84.98,632,15
"10,000",2015,파장동,궁전,1,44.37,199,2
"14,500",2015,파장동,삼익,1,76.99,212-5,9
"14,900",2015,파장동,화남2,1,63.62,470,3
"9,300",2015,파장동,삼청,1,50.65,422-2,5
"10,000",2015,파장동,화남1,1,55.72,569-3,5
"10,400",2015,파장동,화남1,1,55.72,569-3,5
"13,000",2015,파장동,화남2,1,59.67,470,2
"12,900",2015,파장동,화남2,1,57.78,470,3
"10,200",2015,파장동,삼익,1,55.57,212-5,4
"12,950",2015,파장동,화남2,1,57.78,470,8
"9,200",2015,파장동,화남1,1,59.34,569-3,6
"26,900",2015,파장동,북수원아이파크,1,84.98,632,10
"15,750",2015,파장동,현대,1,59.6,622,4
"18,800",2015,파장동,삼익,1,104.83,212-5,9
"26,000",2015,파장동,북수원아이파크,1,84.98,632,13
"13,000",2015,파장동,화남2,1,59.67,470,8
"29,800",2015,정자동,벽산블루밍,1,84.98,423-1,6
"22,000",2015,정자동,동신2단지,1,84.98,313-1,9
"20,300",2015,정자동,화서역 우방 센트럴파크,1,59.98,887-1,9
"24,000",2015,정자동,벽산블루밍,1,59.99,423-1,2
"32,950",2015,정자동,화서역 위너스 파크,1,84.45,922,3
"22,950",2015,정자동,백설마을삼환나우빌,1,59.83,880-3,9
"18,500",2015,정자동,동신2단지,1,69.14,313-1,12
"13,500",2015,정자동,동신1단지,1,56.71,395,7
"27,800",2015,정자동,경남아너스빌,1,84.933,297-2,3
"22,900",2015,정자동,화서역 우방 센트럴파크,1,59.98,887-1,9
"22,500",2015,정자동,꽃뫼노을마을한마루아파트,1,60,881-4,16
"14,200",2015,정자동,동신1단지,1,56.71,395,9
"12,200",2015,정자동,동신1단지,1,56.71,395,1
"24,000",2015,정자동,수원정자금강에스쁘아,1,84.975,69-45,14
"32,800",2015,정자동,화서역 위너스 파크,1,84.71,922,9
"28,300",2015,정자동,청솔마을한라,1,59.985,919,12
"12,500",2015,정자동,꽃뫼노을마을한마루아파트,1,39.84,881-4,18
"31,000",2015,정자동,꽃뫼마을신안,1,84.94,883-6,16
"14,000",2015,정자동,동신1단지,1,56.71,395,6
"52,500",2015,정자동,수원 SK SKY VIEW,1,122.689,945,9
"32,800",2015,정자동,화서역 위너스 파크,1,84.51,922,7
"24,750",2015,정자동,백설마을삼환나우빌,1,59.83,880-3,12
"31,600",2015,정자동,백설 에듀빌,1,84.96,871-4,3
"26,700",2015,정자동,청솔마을한라,1,59.985,919,17
"42,500",2015,정자동,청솔마을SK한화,1,99.2153,918,5
"20,700",2015,정자동,화서역파크뷰,1,49.56,882-5,9
"16,250",2015,정자동,동신2단지,1,63.29,313-1,4
"16,800",2015,정자동,동신2단지,1,69.14,313-1,11
"23,200",2015,정자동,화서역 우방 센트럴파크,1,59.98,887-1,18
"32,750",2015,정자동,대월마을대림진흥,1,84.9461,914,21
"12,300",2015,정자동,동신1단지,1,43.03,395,7
"28,800",2015,정자동,꽃뫼마을신안,1,84.94,883-6,6
"33,800",2015,정자동,두견마을벽산3차,1,99.95,884-4,14
"15,600",2015,정자동,신호정자,1,59.9,840-98,12
"25,300",2015,정자동,백설마을현대코오롱아파트,1,59.79,870-1,6
"42,400",2015,정자동,백설마을성지동양고속아파트,1,135.63,879-1,10
"42,700",2015,정자동,정자KTe-편한세상,1,128.86,24-1,10
"39,200",2015,정자동,수원 SK SKY VIEW,1,84.911,945,15
"40,650",2015,정자동,연꽃마을풍림,1,127.17,872-1,5
"23,500",2015,정자동,화서역 우방 센트럴파크,1,59.98,887-1,16
"25,750",2015,정자동,백설마을현대코오롱아파트,1,59.79,870-1,12
"24,500",2015,정자동,백설마을현대코오롱아파트,1,59.79,870-1,8
"11,700",2015,정자동,동신2단지,1,43.02,313-1,6
"16,000",2015,정자동,동신2단지,1,59.66,313-1,8
"16,800",2015,정자동,신미주,1,72.64,29-1,11
"23,800",2015,정자동,화서역현대벽산,1,59.95,886-1,15
"37,000",2015,정자동,연꽃마을풍림,1,99.18,872-1,15
"31,000",2015,정자동,경남아너스빌,1,84.903,297-2,10
"23,000",2015,정자동,북수원리버파크,1,59.92,913,12
"30,900",2015,정자동,꽃뫼마을신안,1,84.94,883-6,15
"14,300",2015,정자동,보은맨션,1,63.09,31-3,9
"40,800",2015,정자동,수원 SK SKY VIEW,1,84.911,945,23
"41,200",2015,정자동,수원 SK SKY VIEW,1,84.893,945,35
"32,600",2015,정자동,백설 에듀빌,1,84.96,871-4,20
"23,300",2015,정자동,화서역파크뷰,1,59.94,882-5,14
"27,800",2015,정자동,꽃뫼마을신안,1,72.69,883-6,4
"14,400",2015,정자동,동신1단지,1,56.71,395,10
