거래금액,년,법정동,아파트,월,전용면적,지번,층
"13,000",2015,대야동,우성2,1,41.55,569-1,8
"14,100",2015,대야동,서강1,1,49.59,568-4,8
"21,700",2015,대야동,청구2,1,59.835,547,5
"9,900",2015,대야동,영남2,1,37.47,274-24,6
"20,900",2015,대야동,서해,1,59.58,563,18
"11,000",2015,대야동,영남2,1,37.47,274-24,5
"25,800",2015,대야동,청구1,1,85,570-1,7
"17,500",2015,대야동,청구2,1,59.835,547,1
"22,000",2015,대야동,극동,1,84.57,332-13,1
"11,500",2015,대야동,영남2,1,37.47,274-24,3
"27,400",2015,대야동,청구1,1,85,570-1,12
"20,900",2015,대야동,서강2,1,59.98,564,14
"19,100",2015,대야동,서강2,1,59.98,564,2
"10,820",2015,대야동,서강2,1,31.5,564,5
"37,300",2015,대야동,청구2,1,134.73,547,17
"20,500",2015,대야동,서강2,1,59.98,564,9
"26,800",2015,대야동,늘푸른벽산,1,84.9,570-2,9
"20,600",2015,대야동,우성2,1,59.96,569-1,12
"25,500",2015,대야동,극동,1,84.57,332-13,9
"19,900",2015,대야동,서해,1,59.85,563,6
"21,500",2015,대야동,우성2,1,59.96,569-1,12
"26,700",2015,대야동,청구1,1,85,570-1,16
"14,800",2015,대야동,서강1,1,52.2,568-4,16
"20,800",2015,대야동,서해,1,59.58,563,12
"12,000",2015,대야동,영남1,1,39.84,274-3,5
"19,000",2015,대야동,극동,1,59.77,332-13,2
"21,000",2015,대야동,서해,1,59.58,563,6
"13,200",2015,대야동,우성2,1,41.55,569-1,14
"28,700",2015,대야동,늘푸른벽산,1,99.92,570-2,10
"23,000",2015,대야동,벽산,1,84.54,278,2
"20,400",2015,대야동,서강2,1,59.98,564,17
"13,470",2015,대야동,영남1,1,39.84,274-3,2
"21,400",2015,대야동,우성2,1,59.96,569-1,7
"14,600",2015,대야동,서강1,1,52.2,568-4,2
"20,250",2015,대야동,서강2,1,59.98,564,11
"19,500",2015,대야동,서강2,1,59.98,564,5
"26,000",2015,대야동,청구1,1,85,570-1,5
"19,000",2015,대야동,서해,1,59.85,563,20
"19,600",2015,대야동,서해,1,59.58,563,2
"24,500",2015,대야동,우남한신,1,84.925,288,14
"28,300",2015,대야동,우성1,1,101.935,567-2,15
"20,300",2015,대야동,서강2,1,59.98,564,12
"8,500",2015,대야동,삼호,1,38.64,479,3
"29,350",2015,대야동,늘푸른벽산,1,99.92,570-2,13
"8,450",2015,대야동,삼호,1,38.64,479,4
"21,100",2015,대야동,벽산,1,77.2,278,13
"20,700",2015,대야동,우성2,1,59.96,569-1,4
"19,400",2015,대야동,서강2,1,59.98,564,2
"13,000",2015,신천동,동진2,1,59.73,829,3
"13,500",2015,신천동,동진2,1,59.73,829,2
"12,350",2015,신천동,동진1,1,59.64,832-2,4
"13,500",2015,신천동,동진2,1,59.99,829,5
"26,900",2015,신천동,경남아너스빌아파트,1,84.8762,943-1,3
"20,500",2015,신천동,뉴월드,1,84.96,869-1,13
"15,400",2015,신천동,우남한신휴플러스,1,59.98,871-1,19
"9,800",2015,신천동,현대,1,44.4,452-1,4
"12,850",2015,신천동,동진2,1,59.99,829,3
"20,000",2015,신천동,산호3차,1,84.99,870-2,5
"29,000",2015,신천동,시흥신천휴먼시아,1,84.51,946,8
"23,150",2015,신천동,은하수드림힐,1,84.92,833-9,12
"24,000",2015,신천동,은하수드림힐,1,84.92,833-9,4
"21,000",2015,신천동,경남아너스빌아파트,1,59.751,943-1,8
"8,900",2015,신천동,동경4,1,43.47,384-2,2
"11,000",2015,신천동,동경4,1,54.84,384-2,3
"37,200",2015,신천동,시흥5차대우푸르지오,1,110.4398,709-32,5
"14,700",2015,신천동,한영둥지,1,68.02,857-2,1
"9,400",2015,신천동,한영둥지,1,52.47,857-2,6
"23,800",2015,신천동,시흥5차대우푸르지오,1,59.7614,709-32,15
"7,000",2015,신천동,태광,1,37.17,387,4
"28,500",2015,신천동,경남아너스빌아파트,1,84.8762,943-1,11
"20,000",2015,신천동,산호3차,1,84.99,870-2,5
"9,500",2015,신천동,대보,1,42.57,848-5,5
"23,000",2015,신천동,경남아너스빌아파트,1,59.751,943-1,13
"8,430",2015,신천동,현대,1,41.16,452-1,3
"34,500",2015,신천동,시흥신천삼환나우빌,1,84.892,949,4
"21,500",2015,신천동,경남아너스빌아파트,1,59.9769,943-1,11
"28,000",2015,신천동,경남아너스빌아파트,1,84.8762,943-1,10
"34,000",2015,신천동,경남아너스빌아파트,1,119.1363,943-1,14
"10,650",2015,신천동,장미,1,45.81,375-3,2
"21,500",2015,신천동,시흥5차대우푸르지오,1,59.8272,709-32,20
"32,500",2015,신천동,경남아너스빌아파트,1,119.1363,943-1,6
"10,500",2015,신천동,동진,1,49.27,858,4
"16,500",2015,포동,산과우리들포동태산,1,72.19,13-3,16
"19,500",2015,포동,산과우리들포동태산,1,84.75,13-3,8
"10,000",2015,포동,동진,1,59.91,13-2,5
"11,500",2015,포동,서강,1,52.08,1-63,17
"14,500",2015,포동,산과우리들포동태산,1,72.19,13-3,1
"19,800",2015,포동,산과우리들포동태산,1,84.75,13-3,14
"11,000",2015,포동,산과우리들포동태산,1,59.95,13-3,20
"12,700",2015,포동,산과우리들포동태산,1,59.95,13-3,19
"13,000",2015,포동,서강,1,59.73,1-63,7
"15,800",2015,포동,산과우리들포동태산,1,72.19,13-3,6
"12,250",2015,포동,산과우리들포동태산,1,59.95,13-3,10
"11,500",2015,포동,서강,1,52.08,1-63,6
"18,000",2015,포동,산과우리들포동태산,1,84.03,13-3,15
"13,000",2015,포동,산과우리들포동태산,1,59.95,13-3,13
"15,700",2015,포동,산과우리들포동태산,1,72.19,13-3,5
"11,900",2015,포동,태현2,1,59.27,2,3
"11,000",2015,포동,산과우리들포동태산,1,59.95,13-3,1
"10,450",2015,포동,동진,1,59.91,13-2,6
"12,450",2015,포동,산과우리들포동태산,1,59.95,13-3,12
"18,000",2015,포동,산과우리들포동태산,1,84.03,13-3,18
"16,450",2015,포동,산과우리들포동태산,1,72.19,13-3,9
"30,800",2015,미산동,해가든더클래식,1,130.75,350-15,13
"33,000",2015,미산동,해가든더클래식,1,148.8,350-15,8
"36,000",2015,미산동,해가든더클래식,1,148.8,350-15,13
"6,500",2015,미산동,부국미산아파트(1동2동3동),1,41.13,산15-1,4
"32,500",2015,미산동,해가든더클래식,1,148.8,350-15,8
"24,000",2015,은행동,풍림아이원,1,84.488,250-5,12
"22,500",2015,은행동,풍림아이원,1,84.488,250-5,4
"34,800",2015,은행동,대우푸르지오4차,1,101.1734,599-1,1
"29,600",2015,은행동,대우푸르지오3차,1,84.908,549-1,10
"17,700",2015,은행동,시흥성원샹떼빌,1,59.73,538-2,7
"31,900",2015,은행동,대우푸르지오3차,1,99.95,549-1,8
"15,500",2015,은행동,대우2차,1,50.884,543-1,12
"23,500",2015,은행동,풍림아이원,1,84.488,250-5,6
"19,000",2015,은행동,예스라이프,1,56.966,105-13,12
"22,200",2015,은행동,대우푸르지오3차,1,59.258,549-1,3
"21,000",2015,은행동,대우푸르지오3차,1,59.258,549-1,15
"34,500",2015,은행동,대우푸르지오3차,1,133.98,549-1,1
"20,400",2015,은행동,대우푸르지오3차,1,59.258,549-1,20
"29,200",2015,은행동,대우푸르지오4차,1,71.9352,599-1,6
"12,450",2015,은행동,시흥성원샹떼빌,1,37.8,538-2,8
"13,900",2015,은행동,광덕2,1,62.46,99-16,6
"14,400",2015,은행동,신명,1,48.84,538-1,8
"14,200",2015,은행동,은행마을녹원,1,56.89,289-33,9
"17,900",2015,은행동,시흥성원샹떼빌,1,59.73,538-2,14
"8,900",2015,은행동,산호,1,49.22,241-1,4
"23,550",2015,은행동,대우푸르지오3차,1,59.258,549-1,5
"17,000",2015,은행동,신명,1,59.88,538-1,5
"33,400",2015,은행동,대우푸르지오4차,1,84.7561,599-1,16
"36,000",2015,은행동,대우푸르지오4차,1,101.1734,599-1,5
"15,400",2015,은행동,시흥성원샹떼빌,1,49.5,538-2,9
"33,000",2015,은행동,대우푸르지오4차,1,84.7561,599-1,11
"32,450",2015,은행동,대우푸르지오4차,1,84.7561,599-1,14
"21,600",2015,은행동,대우푸르지오3차,1,59.258,549-1,20
"24,200",2015,은행동,벽산3차,1,84.99,547-1,16
"21,200",2015,은행동,대우푸르지오3차,1,59.258,549-1,16
"24,325",2015,은행동,대우푸르지오1차,1,78.9,546,19
"23,000",2015,은행동,대우푸르지오1차,1,78.9,546,17
"38,000",2015,은행동,대우푸르지오3차,1,133.98,549-1,3
"19,700",2015,은행동,대우푸르지오1차,1,59.946,546,2
"19,000",2015,은행동,대우2차,1,59.884,543-1,13
"11,200",2015,은행동,동경5차,1,54.9,241,3
"27,000",2015,은행동,대우푸르지오3차,1,84.908,549-1,1
"11,500",2015,은행동,시흥성원샹떼빌,1,37.8,538-2,4
"10,400",2015,은행동,시흥성원샹떼빌,1,37.8,538-2,3
"28,500",2015,은행동,대우푸르지오3차,1,84.908,549-1,10
"23,000",2015,은행동,대우푸르지오3차,1,59.258,549-1,4
"21,000",2015,은행동,대우푸르지오3차,1,59.258,549-1,19
"23,800",2015,은행동,풍림아이원,1,84.488,250-5,10
"19,950",2015,은행동,벽산3차,1,59.95,547-1,6
"22,000",2015,은행동,대우푸르지오3차,1,59.258,549-1,3
"22,800",2015,은행동,대우푸르지오1차,1,78.9,546,2
"32,500",2015,은행동,대우푸르지오4차,1,84.7561,599-1,3
"19,300",2015,은행동,예스라이프,1,56.966,105-13,10
"15,700",2015,은행동,대우2차,1,50.884,543-1,14
"10,500",2015,매화동,서능아파트(201동202동203동),1,64.77,220-1,3
"11,000",2015,매화동,동진,1,57.72,194-1,12
"14,900",2015,매화동,매화마을홍익,1,59.79,367,11
"7,200",2015,매화동,서능1차(101~103동),1,45.66,207,4
"6,400",2015,매화동,대원,1,45,241-8,4
"18,900",2015,도창동,에이스,1,84.99,65,9
"18,800",2015,도창동,에이스,1,84.99,65,17
"19,000",2015,도창동,에이스,1,84.99,65,10
"14,400",2015,도창동,에이스,1,59.34,65,7
"29,600",2015,능곡동,시흥능곡신안인스빌,1,84.995,782,5
"28,000",2015,능곡동,우남퍼스트빌,1,84.894,493,1
"42,000",2015,능곡동,신일해피트리,1,124.8506,712,9
"27,950",2015,능곡동,시흥능곡신안인스빌,1,84.958,782,2
"30,000",2015,능곡동,시흥능곡자연앤(4단지),1,84.76,554,12
"44,500",2015,능곡동,신일해피트리,1,124.8506,712,11
"30,500",2015,능곡동,시흥능곡자연앤(4단지),1,84.83,554,10
"32,000",2015,능곡동,우남퍼스트빌,1,84.8401,493,11
"32,500",2015,능곡동,우남퍼스트빌,1,84.894,493,12
"30,700",2015,능곡동,상록힐스테이트,1,85,775,9
"30,800",2015,능곡동,시흥능곡자연앤(4단지),1,84.83,554,6
"30,600",2015,능곡동,시흥능곡엘드수목토,1,84.685,789,9
"27,200",2015,능곡동,상록힐스테이트,1,85,775,2
"31,500",2015,능곡동,우남퍼스트빌,1,84.894,493,3
"29,200",2015,능곡동,시흥능곡신안인스빌,1,84.958,782,4
"15,900",2015,하중동,관곡마을동아,1,60,826-1,6
"19,600",2015,하중동,참이슬마을,1,72.15,855,3
"14,300",2015,하중동,관곡마을성원,1,59.73,827,13
"11,400",2015,하중동,유호NPLUSVILLE,1,51.1375,878-1,15
"18,500",2015,하중동,참이슬마을,1,72.15,855,4
"13,800",2015,하중동,유호NPLUSVILLE,1,59.4975,878-1,14
"15,500",2015,하중동,관곡마을동아,1,60,826-1,15
"14,850",2015,하중동,관곡마을성원,1,59.73,827,5
"14,500",2015,하중동,관곡마을성원,1,59.73,827,7
"14,200",2015,하중동,관곡마을성원,1,59.73,827,13
"14,300",2015,하중동,관곡마을성원,1,59.73,827,11
"28,250",2015,하중동,참이슬마을,1,101.25,855,7
"15,050",2015,하중동,관곡마을동아,1,60,826-1,2
"16,000",2015,하중동,관곡마을동아,1,60,826-1,3
"13,000",2015,하중동,유호NPLUSVILLE,1,59.4975,878-1,9
"13,000",2015,하중동,관곡마을성원,1,59.73,827,1
"5,300",2015,하중동,데코빌,1,21.35,878-4,8
"14,400",2015,하중동,관곡마을성원,1,59.73,827,17
"23,000",2015,하중동,대우4,1,84.3188,858,9
"16,200",2015,하중동,관곡마을동아,1,60,826-1,5
"26,000",2015,하중동,참이슬마을,1,125.22,855,14
"24,100",2015,하중동,참이슬마을,1,101.25,855,18
"20,700",2015,하중동,참이슬마을,1,72.15,855,17
"23,000",2015,하중동,참이슬마을,1,84.96,855,15
"5,300",2015,하중동,데코빌,1,20,878-4,11
"4,000",2015,하중동,데코빌,1,20.35,878-4,6
"15,900",2015,하상동,연꽃마을금호,1,59.79,369,14
"15,700",2015,하상동,연꽃마을대우삼호아파트,1,59.88,368,16
"28,500",2015,하상동,연꽃마을대우삼호아파트,1,134.34,368,18
"30,250",2015,하상동,연꽃마을대우삼호아파트,1,134.34,368,10
"22,000",2015,하상동,연꽃마을태평2,1,84.754,382,19
"21,400",2015,하상동,연꽃마을금호,1,84.85,369,17
