거래금액,년,법정동,아파트,월,전용면적,지번,층
"24,000",2015,고잔동,주공(9단지),1,66.56,672,12
"18,300",2015,고잔동,주공8,1,61.52,671,2
"34,300",2015,고잔동,푸르지오4차,1,84.3128,702,6
"30,000",2015,고잔동,주공그린빌8,1,75.82,766,1
"40,000",2015,고잔동,호수공원(대림1),1,117.92,720,1
"35,300",2015,고잔동,푸르지오1차,1,84.782,781,8
"33,700",2015,고잔동,보네르빌리지,1,89.081,778,3
"36,300",2015,고잔동,양지마을,1,84.838,780,11
"20,600",2015,고잔동,주공7,1,66.56,670,10
"30,000",2015,고잔동,주공1,1,68.87,532,3
"39,500",2015,고잔동,대우푸르지오5,1,84.916,712,9
"33,500",2015,고잔동,주공1,1,77.82,532,2
"23,900",2015,고잔동,주공(9단지),1,67.28,672,6
"42,800",2015,고잔동,호수공원(대림2B)134~139동,1,117.92,720,24
"22,000",2015,고잔동,주공7,1,75.24,670,2
"34,500",2015,고잔동,주공2,1,68.87,538,5
"20,000",2015,고잔동,주공7,1,64.62,670,9
"32,500",2015,고잔동,주공그린빌9,1,75.62,765,10
"16,950",2015,고잔동,주공5,1,39.72,674,2
"21,000",2015,고잔동,주공5,1,47.1,674,2
"20,500",2015,고잔동,주공5,1,46.79,674,1
"33,000",2015,고잔동,주공1,1,77.82,532,5
"36,400",2015,고잔동,보네르빌리지,1,89.081,778,8
"35,200",2015,고잔동,보네르빌리지,1,103.146,778,13
"21,000",2015,고잔동,주공6,1,46.74,676-2,4
"20,500",2015,고잔동,주공5,1,47.1,674,3
"21,500",2015,고잔동,주공(9단지),1,61.52,672,9
"17,344",2015,고잔동,주공8,1,54.9,671,10
"21,700",2015,고잔동,주공6,1,46.74,676-2,4
"19,300",2015,고잔동,주공7,1,66.38,670,4
"19,800",2015,고잔동,주공7,1,64.62,670,14
"20,723",2015,고잔동,주공8,1,64.62,671,13
"18,210",2015,고잔동,주공8,1,54.9,671,6
"35,350",2015,고잔동,주공그린빌9,1,84.7,765,13
"17,520",2015,고잔동,주공8,1,54.9,671,3
"29,500",2015,고잔동,대우푸르지오5,1,63.013,712,10
"17,362",2015,고잔동,주공8,1,54.9,671,3
"35,900",2015,고잔동,주공2,1,68.87,538,3
"37,900",2015,고잔동,대우푸르지오5,1,84.916,712,15
"34,300",2015,고잔동,푸르지오4차,1,84.3128,702,6
"17,520",2015,고잔동,주공8,1,54.9,671,1
"21,000",2015,고잔동,주공7,1,75.24,670,2
"19,300",2015,고잔동,주공(9단지),1,54.9,672,9
"33,000",2015,고잔동,주공1,1,77.82,532,4
"39,500",2015,고잔동,주공2,1,77.82,538,4
"18,150",2015,고잔동,주공6,1,39.72,676-2,2
