거래금액,년,법정동,아파트,월,전용면적,지번,층
"37,000",2015,비산동,은하수청구,1,84.6,1104,18
"37,500",2015,비산동,관악부영4,1,84.63,1102-4,3
"35,400",2015,비산동,관악,1,84.945,1102,15
"19,300",2015,비산동,성원,1,59.82,1028-20,8
"37,200",2015,비산동,샛별한양4-3,1,84.9,1101-8,3
"47,000",2015,비산동,은하수벽산,1,84.9,1103,10
"28,600",2015,비산동,안양임곡휴먼시아,1,59.71,1163,16
"18,900",2015,비산동,샛별마을한양4-1,1,42.615,1101-2,8
"33,700",2015,비산동,비산힐스테이트,1,82.2,576-7,19
"43,900",2015,비산동,삼성래미안,1,84.918,425,19
"25,800",2015,비산동,더포레스트힐,1,59.97,1155,1
"17,900",2015,비산동,동산,1,72.29,571-10,1
"17,800",2015,비산동,샛별한양4-3,1,41.265,1101-8,13
"17,050",2015,비산동,샛별한양4-3,1,41.265,1101-8,11
"18,400",2015,비산동,샛별한양4-2,1,41.265,1101-6,8
"18,400",2015,비산동,샛별마을한양4-1,1,41.265,1101-2,14
"27,500",2015,비산동,동양월드타워,1,84.38,379-3,21
"21,800",2015,비산동,안양임곡휴먼시아,1,46.78,1163,1
"16,300",2015,비산동,은하수마을한양,1,35.1,1103-5,12
"21,800",2015,비산동,은하수마을한양,1,42.615,1103-5,12
"14,850",2015,비산동,은하수마을한양,1,28.215,1103-5,14
"20,000",2015,비산동,샛별한양6(고층1109-4),1,42.615,1109-4,7
"26,400",2015,비산동,샛별한양6(고층1109-6),1,49.68,1109-6,10
"17,000",2015,비산동,샛별한양6(고층1109),1,35.1,1109,7
"29,300",2015,비산동,안양임곡휴먼시아,1,59.95,1163,14
"36,000",2015,비산동,비산롯데캐슬,1,82.245,408,9
"16,500",2015,비산동,덕원8,1,52.05,1022-2,2
"42,500",2015,비산동,은하수벽산,1,84.9,1103,15
"45,850",2015,비산동,은하수벽산,1,84.9,1103,10
"36,000",2015,비산동,관악,1,84.72,1102,18
"34,750",2015,비산동,삼성래미안,1,59.871,425,20
"17,000",2015,비산동,샛별한양4-3,1,41.265,1101-8,2
"35,200",2015,비산동,샛별한양4-3,1,84.9,1101-8,2
"21,200",2015,비산동,미륭,1,87.4,406,1
"19,400",2015,비산동,샛별마을한양4-1,1,41.265,1101-2,18
"16,800",2015,비산동,샛별마을한양4-1,1,42.615,1101-2,1
"44,500",2015,비산동,이-편한세상,1,84.956,1165,4
"19,500",2015,비산동,샛별마을한양4-1,1,42.615,1101-2,6
"17,150",2015,비산동,샛별한양6(고층1109),1,35.1,1109,7
"17,000",2015,비산동,샛별한양6(고층1109-4),1,35.1,1109-4,4
"45,500",2015,비산동,은하수벽산,1,84.9,1103,9
"17,000",2015,비산동,샛별한양6(고층1109-4),1,35.1,1109-4,4
"27,950",2015,비산동,은하수청구,1,55.44,1104,11
"33,500",2015,비산동,관악,1,84.945,1102,3
"20,250",2015,비산동,샛별한양6(고층1109-4),1,42.615,1109-4,14
"60,000",2015,비산동,삼성래미안,1,164.379,425,3
"31,000",2015,비산동,관악,1,71.175,1102,1
"17,800",2015,비산동,관악성원,1,40.875,1102-7,10
"15,000",2015,비산동,화남8,1,47.61,279,2
"47,000",2015,비산동,은하수신성,1,84.6,1103-4,11
"40,600",2015,비산동,은하수벽산,1,76.05,1103,5
"25,600",2015,비산동,관악성원,1,49.68,1102-7,14
"45,500",2015,비산동,이-편한세상,1,84.984,1165,12
"35,200",2015,비산동,삼성래미안,1,59.871,425,10
"36,000",2015,비산동,한화꿈에그린,1,59.995,572,9
"35,500",2015,비산동,비산화성파크드림,1,84.9336,1166,17
"26,850",2015,비산동,미륭,1,102.78,406,11
"16,850",2015,비산동,관악성원,1,33.735,1102-7,6
"26,400",2015,비산동,"뉴타운1,2,3",1,72.07,354-10,5
"38,500",2015,비산동,관악부영4,1,84.63,1102-4,6
"34,250",2015,비산동,삼성래미안,1,59.871,425,14
"14,000",2015,비산동,샛별한양6(고층1109),1,28.215,1109,13
"17,000",2015,비산동,샛별마을한양4-1,1,41.265,1101-2,6
"38,000",2015,비산동,한화꿈에그린,1,84.973,572,1
"27,000",2015,비산동,관악,1,59.4,1102,4
"19,000",2015,비산동,샛별마을한양4-1,1,42.615,1101-2,12
"36,300",2015,비산동,관악,1,84.945,1102,13
"17,450",2015,비산동,샛별한양4-3,1,41.265,1101-8,15
"17,600",2015,비산동,샛별한양4-3,1,41.265,1101-8,5
"19,500",2015,비산동,"뉴타운1,2,3",1,57.75,354-10,6
"17,600",2015,비산동,샛별한양4-2,1,41.265,1101-6,11
"26,000",2015,비산동,샛별한양4-2,1,59.82,1101-6,2
"44,900",2015,비산동,비산롯데캐슬,1,108.197,408,2
"28,450",2015,비산동,관악,1,59.4,1102,14
"28,830",2015,비산동,관악부영4,1,59.44,1102-4,5
"44,700",2015,비산동,삼성래미안,1,84.918,425,11
"11,500",2015,비산동,화남9,1,38.43,281-1,3
"64,000",2015,비산동,이-편한세상,1,125.792,1165,15
"17,050",2015,비산동,샛별마을한양4-1,1,42.615,1101-2,15
"16,500",2015,비산동,샛별마을한양4-1,1,35.1,1101-2,9
"21,500",2015,비산동,미륭,1,67.08,406,9
"51,000",2015,비산동,삼성래미안,1,114.607,425,17
"25,500",2015,비산동,미륭,1,104.63,406,11
"16,700",2015,비산동,더포레스트힐,1,39.69,1155,4
"30,000",2015,비산동,샛별한양4-2,1,59.82,1101-6,12
"14,000",2015,비산동,관악성원,1,33.735,1102-7,1
"29,500",2015,비산동,관악,1,59.4,1102,14
"21,000",2015,비산동,현진1,1,56.25,413-1,2
"16,300",2015,비산동,샛별마을한양4-1,1,35.1,1101-2,7
"33,900",2015,비산동,은하수신성,1,59.895,1103-4,4
"19,800",2015,비산동,"뉴타운1,2,3",1,58.12,354-10,10
"24,200",2015,비산동,삼호12차,1,84.66,1043-11,4
"27,000",2015,비산동,더포레스트힐,1,59.94,1155,16
"21,300",2015,비산동,더포레스트힐,1,49.48,1155,14
"16,500",2015,비산동,샛별한양6(고층1109-4),1,35.1,1109-4,15
"14,020",2015,비산동,은하수마을한양,1,28.215,1103-5,15
"17,950",2015,비산동,샛별한양6(고층1109),1,35.1,1109,11
"35,300",2015,비산동,뉴타운5,1,84.99,341,12
"42,700",2015,비산동,삼성래미안,1,84.918,425,21
"34,500",2015,비산동,삼성래미안,1,59.871,425,24
"33,500",2015,비산동,관악,1,84.945,1102,8
"18,300",2015,비산동,은하수마을한양,1,35.1,1103-5,4
"38,000",2015,비산동,안양임곡휴먼시아,1,84.92,1163,17
"31,000",2015,비산동,대주파크빌,1,83.14,374,16
"33,800",2015,비산동,삼성래미안,1,59.871,425,4
"32,000",2015,비산동,관악,1,71.175,1102,3
"39,500",2015,비산동,관악,1,84.945,1102,16
"16,300",2015,비산동,샛별마을한양4-1,1,35.1,1101-2,8
"17,000",2015,비산동,샛별마을한양4-1,1,42.615,1101-2,1
"36,500",2015,비산동,샛별한양4-3,1,84.9,1101-8,15
"31,300",2015,비산동,삼성래미안,1,59.881,425,5
"45,500",2015,비산동,비산롯데캐슬,1,108.197,408,2
"18,500",2015,비산동,샛별마을한양4-1,1,41.265,1101-2,16
"19,100",2015,비산동,샛별마을한양4-1,1,41.265,1101-2,7
"29,800",2015,비산동,삼성래미안,1,59.881,425,1
"32,000",2015,비산동,삼성래미안,1,59.881,425,11
"61,000",2015,비산동,삼성래미안,1,164.379,425,7
"17,000",2015,비산동,샛별한양6(고층1109),1,35.1,1109,4
"58,500",2015,비산동,삼성래미안,1,132.762,425,4
"44,700",2015,비산동,삼성래미안,1,84.918,425,17
"45,750",2015,비산동,삼성래미안,1,84.918,425,13
"14,500",2015,비산동,관악성원,1,33.735,1102-7,1
"16,800",2015,비산동,샛별한양6(고층1109-4),1,35.1,1109-4,13
"20,500",2015,비산동,샛별한양6(고층1109-4),1,42.615,1109-4,10
"20,300",2015,비산동,샛별한양6(고층1109-4),1,42.615,1109-4,13
"45,500",2015,비산동,이-편한세상,1,84.984,1165,3
"17,000",2015,비산동,샛별한양6(고층1109),1,35.1,1109,6
"45,500",2015,비산동,이-편한세상,1,84.988,1165,13
"18,000",2015,비산동,샛별마을한양4-1,1,42.615,1101-2,11
"13,900",2015,비산동,샛별한양6(고층1109-4),1,28.215,1109-4,14
"17,000",2015,비산동,샛별한양6(고층1109-4),1,35.1,1109-4,11
"41,000",2015,비산동,이-편한세상,1,84.988,1165,1
"49,500",2015,비산동,삼성래미안,1,114.607,425,14
"29,000",2015,비산동,샛별한양4-3,1,59.82,1101-8,14
"38,500",2015,비산동,샛별한양4-2,1,84.9,1101-6,7
"18,700",2015,비산동,샛별마을한양4-1,1,42.615,1101-2,5
"24,000",2015,비산동,관악성원,1,49.68,1102-7,8
"20,000",2015,비산동,"뉴타운1,2,3",1,57.75,354-10,10
"21,700",2015,비산동,샛별한양6(고층1109-6),1,42.615,1109-6,2
"26,000",2015,비산동,샛별한양6(고층1109-6),1,49.68,1109-6,14
"27,000",2015,비산동,샛별한양6(고층1109-4),1,49.68,1109-4,6
"25,800",2015,비산동,샛별한양6(고층1109-6),1,49.68,1109-6,16
"44,900",2015,비산동,삼성래미안,1,84.918,425,15
"18,750",2015,비산동,덕원8,1,55.77,1022-2,4
"48,000",2015,비산동,삼성래미안,1,114.607,425,5
"38,500",2015,비산동,샛별한양4-3,1,84.9,1101-8,7
"18,500",2015,비산동,샛별한양4-3,1,41.265,1101-8,22
"25,700",2015,비산동,샛별한양6(고층1109),1,49.68,1109,14
"26,300",2015,비산동,미륭,1,102.78,406,12
"41,800",2015,비산동,삼성래미안,1,84.918,425,11
"36,500",2015,비산동,뉴타운5,1,84.99,341,8
"48,500",2015,비산동,한화꿈에그린,1,111.475,572,2
"22,000",2015,비산동,은하수마을한양,1,42.615,1103-5,8
"34,500",2015,비산동,비산힐스테이트,1,82.2,576-7,16
"29,450",2015,비산동,관악부영4,1,59.44,1102-4,17
"17,500",2015,비산동,샛별마을한양4-1,1,41.265,1101-2,20
"20,500",2015,비산동,샛별한양6(고층1109-4),1,42.615,1109-4,4
"27,250",2015,비산동,더포레스트힐,1,59.93,1155,14
"25,400",2015,비산동,샛별한양6(고층1109-4),1,49.68,1109-4,2
"25,500",2015,비산동,뉴삼호,1,79.31,343-2,1
"30,500",2015,비산동,비산힐스테이트,1,59.979,576-7,4
"30,500",2015,비산동,"뉴타운1,2,3",1,65.7,354-10,6
"21,900",2015,비산동,강남,1,73.44,566-5,5
"30,000",2015,비산동,샛별한양4-3,1,59.82,1101-8,9
"36,200",2015,비산동,비산롯데캐슬,1,82.245,408,15
"15,800",2015,비산동,관악성원,1,33.735,1102-7,10
"19,950",2015,비산동,"뉴타운1,2,3",1,57.75,354-10,3
"38,400",2015,비산동,관악,1,84.945,1102,19
"36,700",2015,비산동,관악,1,84.945,1102,9
"23,000",2015,비산동,샛별한양6(고층1109-6),1,49.68,1109-6,1
"35,000",2015,비산동,비산힐스테이트,1,82.2,576-7,2
"16,400",2015,비산동,샛별한양6(고층1109-4),1,35.1,1109-4,3
"19,400",2015,비산동,샛별마을한양4-1,1,42.615,1101-2,8
"26,600",2015,비산동,관악,1,59.4,1102,1
"20,500",2015,비산동,성원,1,59.82,1028-20,4
"17,900",2015,비산동,샛별한양4-2,1,41.265,1101-6,3
"24,300",2015,비산동,안양임곡휴먼시아,1,46.78,1163,13
"44,900",2015,비산동,삼성래미안,1,84.918,425,21
"28,000",2015,비산동,"뉴타운1,2,3",1,75.54,354-10,5
"32,000",2015,비산동,은하수청구,1,64.68,1104,7
"23,500",2015,비산동,관악성원,1,49.68,1102-7,1
"17,500",2015,비산동,샛별한양6(고층1109-4),1,35.1,1109-4,4
"30,500",2015,비산동,비산힐스테이트,1,59.979,576-7,18
"28,800",2015,비산동,안양임곡휴먼시아,1,59.95,1163,17
"51,000",2015,비산동,삼성래미안,1,114.607,425,20
"30,000",2015,비산동,삼성래미안,1,59.881,425,1
