거래금액,년,법정동,아파트,월,전용면적,지번,층
"46,800",2015,역삼동,브라운스톤역삼,1,59.96,747-5,5
"59,000",2015,역삼동,대우디오빌,1,84.986,720-25,23
"52,000",2015,역삼동,에스케이허브젠,1,84.99,831-45,4
"76,700",2015,역삼동,래미안그레이튼(진달래2차),1,59.78,762-3,11
"77,000",2015,역삼동,개나리푸르지오,1,59.9885,755-1,3
"93,500",2015,역삼동,래미안그레이튼(진달래2차),1,84.81,762-3,4
"24,000",2015,역삼동,한화진넥스빌,1,43.58,706-20,16
"69,800",2015,역삼동,역삼래미안,1,59.53,757,12
"21,400",2015,역삼동,대우디오빌,1,30.03,720-25,14
"70,800",2015,역삼동,역삼래미안,1,59.53,757,11
"15,000",2015,역삼동,우림루미아트2,1,23.9,706-10,6
"71,900",2015,역삼동,역삼래미안,1,59.4,757,8
"21,700",2015,역삼동,역삼동하나빌,1,31.12,681-26,4
"133,000",2015,역삼동,역삼I'PARK,1,116.285,713-11,16
"26,800",2015,역삼동,한스빌(836),1,41.95,836,11
"68,500",2015,역삼동,역삼래미안,1,59.53,757,5
"71,000",2015,역삼동,동부센트레빌,1,84.97,716,5
"95,500",2015,역삼동,역삼푸르지오,1,84.9097,754-1,8
"33,000",2015,역삼동,(828-76),1,42.39,828-76,6
"70,950",2015,역삼동,역삼래미안,1,59.73,757,20
"45,500",2015,역삼동,대우디오빌,1,59.505,720-25,23
"130,000",2015,역삼동,역삼I'PARK,1,116.285,713-11,15
"72,000",2015,역삼동,역삼래미안,1,59.53,757,11
"70,950",2015,역삼동,역삼푸르지오,1,59.8848,754-1,7
"24,900",2015,역삼동,한스빌(836),1,39.89,836,4
"53,500",2015,역삼동,대림역삼,1,59.99,761-10,12
"32,000",2015,역삼동,대우디오빌플러스,1,43.99,824-25,7
"76,000",2015,역삼동,e-편한세상,1,59.606,755-4,10
"71,700",2015,역삼동,e-편한세상,1,59.606,755-4,7
"68,400",2015,역삼동,역삼래미안,1,59.4,757,3
"40,000",2015,역삼동,역삼우정에쉐르2,1,43.17,707-18,6
"98,300",2015,역삼동,래미안그레이튼(진달래2차),1,84.87,762-3,17
"72,500",2015,역삼동,역삼푸르지오,1,59.8848,754-1,23
"75,000",2015,역삼동,개나리푸르지오,1,59.6851,755-1,11
"104,000",2015,역삼동,래미안그레이튼,1,84.97,763-16,11
"147,500",2015,역삼동,개나리푸르지오,1,133.1686,755-1,16
"107,000",2015,역삼동,개나리래미안,1,84.93,754,11
"71,800",2015,역삼동,동부센트레빌,1,84.97,716,8
"56,900",2015,역삼동,경남아너스빌,1,81.013,722,11
"104,000",2015,역삼동,상지리츠빌(1호라인),1,153.65,761-9,15
"49,500",2015,역삼동,리츠빌아파트,1,93.22,787-4,3
"22,000",2015,역삼동,역삼동하나빌,1,31.12,681-26,5
"43,500",2015,역삼동,대우디오빌,1,59.505,720-25,19
"97,500",2015,역삼동,래미안그레이튼(진달래2차),1,84.81,762-3,17
"76,600",2015,역삼동,래미안그레이튼,1,59.97,763-16,14
"95,800",2015,역삼동,e-편한세상,1,84.991,755-4,6
"60,000",2015,역삼동,역삼동월드메르디앙,1,83.27,795-41,5
"70,400",2015,역삼동,역삼래미안,1,59.4,757,2
"76,000",2015,역삼동,역삼동월드메르디앙,1,103.07,795-41,6
"124,700",2015,역삼동,롯데캐슬노블,1,176.03,835-68,14
"73,500",2015,역삼동,역삼푸르지오,1,59.8848,754-1,17
"72,000",2015,역삼동,역삼래미안,1,59.53,757,14
"128,500",2015,역삼동,역삼I'PARK,1,116.285,713-11,13
"75,000",2015,역삼동,역삼래미안,1,59.4,757,5
"72,500",2015,역삼동,역삼래미안,1,59.65,757,19
"98,000",2015,역삼동,래미안그레이튼(진달래2차),1,84.81,762-3,9
"85,000",2015,역삼동,역삼2차아이파크,1,84.587,765-32,3
"86,900",2015,역삼동,역삼2차아이파크,1,84.891,765-32,10
"157,000",2015,역삼동,개나리푸르지오,1,147.9554,755-1,15
"73,000",2015,역삼동,역삼래미안,1,59.4,757,16
"81,500",2015,역삼동,역삼2차아이파크,1,84.587,765-32,3
"50,000",2015,역삼동,에스케이허브젠,1,84.99,831-45,7
"32,300",2015,역삼동,대우디오빌플러스,1,43.99,824-25,8
"24,900",2015,역삼동,한화진넥스빌,1,43.58,706-20,7
"22,100",2015,역삼동,대우디오빌,1,30.03,720-25,16
"98,500",2015,역삼동,역삼푸르지오,1,84.9097,754-1,14
"54,000",2015,역삼동,역삼디오슈페리움,1,84.34,832-5,18
