거래금액,년,법정동,아파트,월,전용면적,지번,층
"31,500",2015,명일동,명일지에스아파트,1,59.79,332,14
"63,700",2015,명일동,명일우성,1,133.65,42,12
"66,000",2015,명일동,신동아,1,127.33,44,15
"28,000",2015,명일동,삼익그린2차,1,42.93,15,10
"36,800",2015,명일동,삼익그린2차,1,54.81,15,14
"31,450",2015,명일동,삼익가든,1,57.01,270,3
"37,910",2015,명일동,삼익그린1차,1,76.1,294,4
"36,900",2015,명일동,삼익가든,1,72.55,270,7
"31,900",2015,명일동,명일지에스아파트,1,59.79,332,5
"44,000",2015,명일동,명일지에스아파트,1,84.9,332,17
"30,000",2015,명일동,삼익가든,1,57.01,270,2
"36,000",2015,명일동,태천해오름102동B,1,94.64,352-18,2
"52,900",2015,명일동,한양,1,84.92,54,3
"43,170",2015,명일동,고덕주공9,1,83.93,257,9
"38,080",2015,명일동,삼익그린1차,1,76.46,294,6
"28,485",2015,명일동,삼익그린1차,1,55.37,294,9
"27,000",2015,명일동,삼익그린1차,1,53.88,294,11
"51,100",2015,명일동,신동아,1,81.07,44,6
"27,500",2015,명일동,삼익그린1차,1,55.34,294,8
"38,200",2015,명일동,삼익그린1차,1,78.02,294,11
"51,600",2015,명일동,삼익그린1차,1,98.21,294,10
"44,000",2015,명일동,고덕주공9,1,83.93,257,9
"37,950",2015,명일동,삼익그린2차,1,54.81,15,4
"43,686",2015,명일동,고덕주공9,1,83.93,257,9
"43,000",2015,명일동,고덕주공9,1,83.52,257,1
"42,568",2015,명일동,고덕주공9,1,83.93,257,8
"29,900",2015,명일동,삼익가든,1,57.01,270,8
"40,900",2015,명일동,명일지에스아파트,1,84.9,332,4
"59,500",2015,명일동,삼익그린2차,1,107.56,15,2
"45,700",2015,명일동,삼익그린2차,1,66.87,15,14
"27,000",2015,명일동,삼익그린1차,1,56.46,294,10
"27,400",2015,명일동,삼익그린2차,1,42.93,15,1
"45,200",2015,명일동,고덕주공9,1,83.93,257,10
"43,200",2015,명일동,고덕주공9,1,83.93,257,1
"26,800",2015,명일동,삼익그린2차,1,42.93,15,15
"40,750",2015,명일동,삼익가든,1,82.45,270,5
"51,400",2015,명일동,현대(고덕),1,84.91,56,11
"27,000",2015,명일동,삼익그린1차,1,54.25,294,10
"32,800",2015,명일동,삼익그린1차,1,70.21,294,9
