거래금액,년,법정동,아파트,월,전용면적,지번,층
"32,000",2015,미아동,에스케이북한산시티,1,84.71,1353,12
"37,000",2015,미아동,삼각산아이원,1,84.705,1357,14
"29,100",2015,미아동,경남아너스빌(1356-0),1,59.964,1356,16
"45,900",2015,미아동,두산위브트레지움,1,84.95,811,18
"31,750",2015,미아동,현대(190-2),1,84.91,190-2,5
"45,400",2015,미아동,래미안트리베라1단지,1,84.97,813,14
"37,000",2015,미아동,에스케이북한산시티,1,114.85,1353,25
"33,500",2015,미아동,삼각산아이원,1,84.705,1357,2
"37,000",2015,미아동,삼성래미안트리베라2단지,1,59.38,812,19
"41,000",2015,미아동,삼각산아이원,1,114.88,1357,2
"24,950",2015,미아동,벽산라이브파크,1,59.67,1354,24
"36,400",2015,미아동,에스케이북한산시티,1,84.71,1353,18
"37,000",2015,미아동,삼성래미안트리베라2단지,1,58.99,812,17
"33,000",2015,미아동,에스케이북한산시티,1,84.76,1353,9
"26,700",2015,미아동,에스케이북한산시티,1,59.98,1353,3
"28,700",2015,미아동,에스케이북한산시티,1,59.98,1353,17
"43,700",2015,미아동,삼각산아이원,1,114.88,1357,11
"35,000",2015,미아동,에스케이북한산시티,1,84.71,1353,11
"28,500",2015,미아동,경남아너스빌(1356-0),1,59.964,1356,15
"41,000",2015,미아동,두산위브트레지움,1,84.99,811,18
"23,600",2015,미아동,현대성우,1,59.4,561-2,5
"41,600",2015,미아동,에스케이북한산시티,1,114.85,1353,16
"41,400",2015,미아동,미아동부센트레빌,1,84.93,474,2
"43,500",2015,미아동,삼각산아이원,1,114.88,1357,13
"45,000",2015,미아동,에스케이북한산시티,1,114.85,1353,8
"42,000",2015,미아동,에스케이북한산시티,1,114.85,1353,18
"28,500",2015,미아동,현대성우,1,84.92,561-2,14
"36,900",2015,미아동,삼성래미안트리베라2단지,1,58.99,812,22
"46,000",2015,미아동,미아1차래미안,1,84.58,797,12
"34,000",2015,미아동,미아한일유앤아이,1,84.552,1355,14
"57,250",2015,미아동,삼성래미안트리베라2단지,1,113.89,812,8
"35,800",2015,미아동,삼성래미안트리베라2단지,1,59.38,812,16
"35,800",2015,미아동,미아동부센트레빌,1,59.96,474,14
"33,700",2015,미아동,미아1차래미안,1,59.9,797,12
"34,800",2015,미아동,에스케이북한산시티,1,84.71,1353,22
"20,580",2015,미아동,요진,1,59.42,152,7
"24,450",2015,미아동,벽산라이브파크,1,59.67,1354,13
"27,000",2015,미아동,경남아너스빌(1356-0),1,59.964,1356,1
"28,000",2015,미아동,경남아너스빌(1356-0),1,59.964,1356,12
"47,400",2015,미아동,삼성래미안트리베라2단지,1,84.29,812,6
"15,000",2015,미아동,동아하이빌14차,1,46.5,192-16,5
"32,900",2015,미아동,벽산라이브파크,1,84.89,1354,15
"35,000",2015,미아동,삼성래미안트리베라2단지,1,58.99,812,16
"25,200",2015,미아동,현대캐슬,1,66.71,133-12,4
"27,000",2015,미아동,에스케이북한산시티,1,59.98,1353,2
"34,400",2015,미아동,에스케이북한산시티,1,84.76,1353,3
"33,900",2015,미아동,에스케이북한산시티,1,84.92,1353,3
