거래금액,년,법정동,아파트,월,전용면적,지번,층
"27,900",2015,염창동,동아,1,59.97,292,8
"29,500",2015,염창동,여명,1,80.08,242-10,5
"47,500",2015,염창동,강변힐스테이트,1,84.99,299,5
"28,400",2015,염창동,동아,1,59.97,292,6
"27,000",2015,염창동,무학,1,59.38,255,4
"35,200",2015,염창동,현대1,1,84.96,288,6
"28,400",2015,염창동,삼성한마음,1,59.94,244-2,8
"39,500",2015,염창동,일신건영휴먼빌,1,84.93,298,4
"26,900",2015,염창동,신동아,1,59.82,289,10
"31,000",2015,염창동,우성2,1,84.7,287-1,11
"40,000",2015,염창동,태영,1,84.93,270-1,6
"27,800",2015,염창동,동아,1,59.97,292,16
"44,800",2015,염창동,강변한솔솔파크,1,84.69,300,12
"31,500",2015,염창동,동아3,1,59.83,258-1,3
"50,400",2015,염창동,강변힐스테이트,1,84.99,299,9
"45,200",2015,염창동,염창1차보람더하임,1,84.98,305,7
"32,000",2015,염창동,금호타운,1,59.88,240-32,11
"28,100",2015,염창동,극동,1,59.9,246-23,16
"41,800",2015,염창동,동아3,1,84.87,258-1,18
"26,800",2015,염창동,무학,1,59.38,255,14
"28,000",2015,염창동,동아,1,59.97,292,13
"32,000",2015,염창동,현대1,1,84.96,288,2
"43,400",2015,염창동,강변코아루,1,84.77,303,7
"41,900",2015,염창동,강변한솔솔파크,1,84.97,300,21
"32,200",2015,염창동,관음삼성,1,59.96,268,15
"39,000",2015,염창동,이너스내안에,1,84.78,307,9
"41,500",2015,염창동,일신건영휴먼빌,1,84.93,298,9
"27,950",2015,염창동,극동,1,59.9,246-23,8
"35,000",2015,염창동,강변힐스테이트,1,59.9,299,2
"38,200",2015,염창동,동아,1,84.95,292,15
"41,800",2015,염창동,염창힐스테이트,1,84.969,306,1
"39,000",2015,염창동,이너스내안에,1,84.78,307,11
"28,000",2015,염창동,극동상록수,1,59.91,280,18
"35,900",2015,염창동,현대1,1,84.34,288,4
"52,300",2015,염창동,롯데캐슬,1,84.9519,272-11,7
"33,650",2015,염창동,현대2,1,82.74,249-11,4
"50,700",2015,염창동,강변월드메르디앙,1,84.9102,240-1,12
"44,500",2015,염창동,성원,1,114.12,295,13
"35,000",2015,염창동,염창3차보람,1,84.98,301,6
"45,500",2015,염창동,성원,1,114.12,295,10
"27,920",2015,염창동,성원,1,59.91,295,3
"27,900",2015,염창동,삼성한마음,1,59.94,244-2,15
"33,700",2015,염창동,동아3,1,59.83,258-1,19
"27,100",2015,염창동,동아,1,59.97,292,16
"28,200",2015,염창동,태영,1,59.97,270-1,7
"42,600",2015,염창동,현대아이파크,1,78.86,282-19,13
"34,000",2015,염창동,염창동예성그린캐슬,1,84.99,242-8,14
"24,300",2015,염창동,삼성하나로,1,59.26,248-3,14
"36,000",2015,염창동,무학,1,84.64,255,9
"46,400",2015,염창동,강변힐스테이트,1,84.99,299,3
"50,800",2015,염창동,강변힐스테이트,1,84.99,299,12
"29,990",2015,염창동,동아3,1,59.7,258-1,18
"26,000",2015,염창동,극동,1,59.9,246-23,17
"25,700",2015,염창동,삼성하나로,1,59.26,248-3,14
"31,500",2015,염창동,벽산늘푸른,1,84.94,290,3
"32,000",2015,염창동,관음삼성,1,59.96,268,10
"42,500",2015,염창동,월드메르디앙,1,84.98,297,5
"29,900",2015,염창동,극동상록수,1,59.91,280,13
"25,900",2015,염창동,삼현팰리채,1,65.35,250-1,3
"44,800",2015,염창동,염창1차한화꿈에그린,1,59.94,281-22,11
"34,900",2015,염창동,이너스내안에,1,84.91,254-2,2
"41,000",2015,염창동,일신건영휴먼빌,1,84.93,298,6
"42,500",2015,염창동,극동,1,104.15,246-23,6
"27,900",2015,염창동,우성2,1,65.88,287-1,12
"47,800",2015,염창동,강서쌍용예가,1,84.9025,308,16
"40,800",2015,염창동,염창2차한화꿈에그린,1,84.99,302,1
"29,800",2015,염창동,태진한솔,1,58.87,263,11
"37,300",2015,염창동,이너스내안에,1,84.41,307,6
"40,800",2015,염창동,태영,1,84.93,270-1,5
"30,500",2015,염창동,동아3,1,59.7,258-1,23
"33,100",2015,염창동,월드메르디앙,1,59.81,297,2
"40,400",2015,염창동,세왕네트빌,1,105.49,276-12,7
"29,800",2015,염창동,이너스5차동진,1,69.76,304,6
"25,500",2015,염창동,삼성하나로,1,59.26,248-3,8
"26,700",2015,염창동,극동,1,59.9,246-23,2
"49,000",2015,염창동,염창힐스테이트,1,84.849,306,6
"32,000",2015,염창동,금호타운,1,59.88,240-32,12
"33,500",2015,염창동,삼성한아름,1,84.93,264-27,4
"39,000",2015,염창동,태진한솔,1,84.97,263,9
"27,800",2015,염창동,태영,1,59.97,270-1,11
"36,500",2015,염창동,동아,1,84.95,292,6
"29,400",2015,염창동,삼성한마음,1,59.94,244-2,11
"27,000",2015,염창동,신동아,1,59.82,289,8
"37,500",2015,염창동,무학,1,84.64,255,10
"26,950",2015,염창동,태영,1,59.97,270-1,12
"45,500",2015,염창동,강변한솔솔파크,1,84.97,300,12
"32,800",2015,염창동,현대3,1,83.71,291,7
"27,500",2015,염창동,성원,1,59.91,295,3
"34,600",2015,염창동,현대1,1,84.34,288,12
"30,000",2015,염창동,삼성한마음,1,59.94,244-2,14
"29,800",2015,염창동,태진한솔,1,58.87,263,7
"28,300",2015,염창동,동아,1,59.97,292,15
"40,800",2015,염창동,동아3,1,84.87,258-1,14
"28,000",2015,염창동,한강동아,1,59.97,293,13
"24,300",2015,염창동,삼성하나로,1,59.26,248-3,11
"27,000",2015,염창동,신동아,1,59.82,289,10
"26,200",2015,염창동,동아,1,59.97,292,1
"29,500",2015,염창동,극동상록수,1,59.91,280,16
"27,250",2015,염창동,극동,1,59.9,246-23,14
"35,000",2015,염창동,동아,1,84.95,292,2
"47,000",2015,염창동,강변힐스테이트,1,84.99,299,4
"33,500",2015,염창동,금호타운,1,59.88,240-32,13
"27,600",2015,염창동,극동,1,59.9,246-23,9
"30,500",2015,염창동,금호타운,1,59.88,240-32,19
"33,000",2015,염창동,현대1,1,84.34,288,5
"38,050",2015,염창동,삼성한마음,1,84.87,244-2,11
"52,800",2015,염창동,강변월드메르디앙,1,84.9341,240-1,9
"48,500",2015,염창동,강서쌍용예가,1,84.9025,308,10
"33,900",2015,염창동,동아3,1,59.83,258-1,10
"32,000",2015,염창동,삼성하나로,1,84.78,248-3,5
"28,500",2015,염창동,동아,1,59.97,292,6
"33,000",2015,염창동,현대2,1,82.74,249-11,2
"35,100",2015,염창동,월드메르디앙,1,59.81,297,5
"37,700",2015,염창동,삼성한마음,1,84.87,244-2,8
"33,900",2015,염창동,벽산늘푸른,1,84.94,290,4
"32,300",2015,염창동,동아3,1,59.83,258-1,3
"32,000",2015,염창동,금호타운,1,59.88,240-32,4
"27,450",2015,염창동,극동,1,59.9,246-23,3
"30,000",2015,염창동,극동상록수,1,59.91,280,12
"29,400",2015,염창동,삼성한마음,1,59.94,244-2,12
"44,800",2015,염창동,현대아이파크,1,84.84,282-19,8
"26,750",2015,염창동,성원,1,59.91,295,2
"31,500",2015,염창동,염창동예성그린캐슬,1,84.92,242-8,6
"28,000",2015,염창동,무학,1,59.38,255,8
"49,900",2015,염창동,리버펠리스3동,1,132.13,257-1,2
"27,500",2015,염창동,신동아,1,59.82,289,3
"32,500",2015,염창동,금호타운,1,59.88,240-32,10
"28,400",2015,염창동,태진한솔,1,58.87,263,12
"25,500",2015,염창동,현대2,1,59.39,249-11,5
"40,300",2015,염창동,강변한솔솔파크,1,84.73,300,1
"36,700",2015,염창동,염창3우성,1,84.96,272-28,5
"27,000",2015,염창동,염창동한강우성,1,65.88,66-9,7
"28,000",2015,염창동,한강동아,1,59.97,293,5
"37,000",2015,등촌동,부영,1,80.64,691-3,4
