거래금액,년,법정동,아파트,월,전용면적,지번,층
"25,300",2015,봉천동,미래,1,66.595,1654-14,4
"36,800",2015,봉천동,반석푸른숲,1,58.67,1723,11
"32,600",2015,봉천동,은천2단지아파트,1,59.93,1707-1,6
"31,200",2015,봉천동,현대(관악),1,68.8,1000,11
"31,500",2015,봉천동,에이스인헌,1,66.85,196-215,2
"48,496",2015,봉천동,관악파크푸르지오,1,84.98,1728,8
"46,216",2015,봉천동,관악파크푸르지오,1,84.98,1728,1
"35,500",2015,봉천동,관악푸르지오,1,59.58,1717,14
"56,000",2015,봉천동,관악동부센트레빌,1,113.83,1719,16
"37,200",2015,봉천동,금강아미움(103동),1,71.1203,1522-30,6
"53,500",2015,봉천동,서울대입구아이원(1560-61),1,84.89,1560-61,15
"49,000",2015,봉천동,벽산블루밍,1,114.99,1718,16
"30,450",2015,봉천동,벽산블루밍,1,59.99,1718,9
"47,200",2015,봉천동,봉천동아,1,114.69,1703,17
"33,700",2015,봉천동,현대(관악),1,84.74,1000,2
"26,800",2015,봉천동,현대(관악),1,58.59,1000,8
"30,200",2015,봉천동,벽산블루밍,1,59.99,1718,24
"38,000",2015,봉천동,해태보라매타워,1,84.04,729-32,15
"44,500",2015,봉천동,관악푸르지오,1,84.75,1717,17
"37,900",2015,봉천동,갑을,1,80.7,1700,3
"41,500",2015,봉천동,봉천우성,1,84.96,1706,28
"38,300",2015,봉천동,보라매삼성,1,84.84,1698-1,6
"46,700",2015,봉천동,벽산블루밍3차,1,111.04,1720,17
"34,250",2015,봉천동,벽산타운II,1,79.28,1716,4
"27,750",2015,봉천동,현대(관악),1,58.59,1000,6
"22,900",2015,봉천동,프라비다M,1,30.01,893-1,14
"36,500",2015,봉천동,관악드림(삼성),1,84.96,1712,1
"30,600",2015,봉천동,벽산블루밍,1,59.99,1718,6
"31,500",2015,봉천동,은천2단지아파트,1,59.93,1707-1,4
"45,720",2015,봉천동,두산,1,84.87,1708,2
"42,800",2015,봉천동,봉천우성,1,114.78,1706,18
"34,500",2015,봉천동,벽산타운II,1,79.28,1716,11
"18,900",2015,봉천동,프라비다2,1,27.09,867-12,12
