거래금액,년,법정동,아파트,월,전용면적,지번,층
"31,000",2015,월계동,성북역신도브래뉴,1,84.9565,941,3
"33,000",2015,월계동,풍림아이원,1,59.149,944,23
"24,000",2015,월계동,초안산쌍용스윗닷홈,1,59.92,945,2
"36,000",2015,월계동,풍림아이원,1,84.303,944,5
"40,000",2015,월계동,현대,1,114.99,929,23
"37,300",2015,월계동,풍림아이원,1,84.303,944,15
"22,500",2015,월계동,초안2,1,59.85,924,13
"38,500",2015,월계동,한진한화그랑빌,1,84.97,18,19
"22,800",2015,월계동,유원,1,59.93,880,14
"28,800",2015,월계동,동신,1,92.84,436,11
"32,800",2015,월계동,롯데캐슬루나,1,59.993,947,7
"26,400",2015,월계동,현대,1,59.95,929,4
"19,500",2015,월계동,청백3,1,49.77,780,3
"13,100",2015,월계동,주공2,1,38.64,556,13
"18,000",2015,월계동,미성,1,33.28,13,1
"22,800",2015,월계동,대동,1,59.76,925,4
"31,000",2015,월계동,월계흥화브라운빌,1,84.99,939,8
"23,300",2015,월계동,미성,1,50.14,13,10
"30,800",2015,월계동,한진한화그랑빌,1,59.94,18,24
"28,300",2015,월계동,월계흥화브라운빌,1,70.94,939,13
"38,300",2015,월계동,한진한화그랑빌,1,84.97,18,19
"23,800",2015,월계동,미성,1,50.14,13,10
"30,750",2015,월계동,한진한화그랑빌,1,59.94,18,9
"45,750",2015,월계동,현대,1,114.99,929,23
"31,000",2015,월계동,한일1,1,84.942,926,17
"14,000",2015,월계동,초안2,1,39.6,924,4
"17,500",2015,월계동,미성,1,33.28,13,4
"30,000",2015,월계동,삼창,1,94.36,448-3,6
"30,600",2015,월계동,한진한화그랑빌,1,59.94,18,7
"45,600",2015,월계동,한진한화그랑빌,1,114.97,18,6
"37,900",2015,월계동,현대,1,84.98,929,10
"43,000",2015,월계동,롯데캐슬루나,1,84.985,947,11
"51,900",2015,월계동,롯데캐슬루나,1,127.032,947,11
"22,500",2015,월계동,미성,1,50.14,13,2
"20,500",2015,월계동,미륭,1,51.48,13,14
"23,800",2015,월계동,동신,1,71.83,436,7
"26,800",2015,월계동,삼호3,1,59.22,13,2
"31,650",2015,월계동,한진한화그랑빌,1,59.94,18,18
"27,400",2015,월계동,현대,1,59.95,929,15
"20,500",2015,월계동,삼호4,1,50.18,12,14
"32,250",2015,월계동,건양노블레스빌,1,84.659,938,8
"32,000",2015,월계동,월계흥화브라운빌,1,84.91,939,13
"22,500",2015,월계동,미성,1,50.14,13,14
"23,400",2015,월계동,동신,1,70.81,436,9
"42,000",2015,월계동,풍림아이원,1,84.303,944,15
"13,700",2015,월계동,주공2,1,44.52,556,2
"15,070",2015,월계동,주공2,1,44.94,556,14
"49,650",2015,월계동,한진한화그랑빌,1,139.08,18,16
"18,950",2015,월계동,성원(사슴4),1,49.92,322-1,14
"21,200",2015,월계동,삼호4,1,50.18,12,4
"14,300",2015,월계동,청백3,1,39.84,780,11
"26,800",2015,월계동,세양청마루,1,64.183,943,15
"23,500",2015,월계동,미륭,1,51.48,13,8
"30,300",2015,월계동,삼창,1,94.36,448-3,9
"18,500",2015,월계동,초안2,1,49.6,924,4
"33,300",2015,월계동,롯데캐슬루나,1,59.993,947,4
