거래금액,년,법정동,아파트,월,전용면적,지번,층
"33,500",2015,아현동,혜성,1,110.75,613-10,8
"55,100",2015,아현동,예미원,1,84.88,371-1,3
"56,500",2015,아현동,예미원,1,84.98,371-1,6
"32,200",2015,아현동,예미원,1,49.58,371-1,3
"47,300",2015,아현동,예미원,1,71.1,371-1,6
"44,000",2015,아현동,예미원,1,66.24,371-1,6
"56,000",2015,아현동,마포래미안푸르지오1단지,1,59.9656,777,10
"33,000",2015,아현동,혜성,1,98.88,613-10,8
"45,500",2015,아현동,서서울삼성,1,84.89,692,16
"28,000",2015,아현동,혜성,1,79.41,613-10,3
"29,000",2015,아현동,혜성,1,110.75,613-10,4
"44,500",2015,아현동,서서울삼성,1,84.89,692,7
"38,000",2015,공덕동,공덕현대,1,84.61,370-9,5
"50,500",2015,공덕동,공덕3삼성래미안,1,59.97,457,20
"37,000",2015,공덕동,마포현대,1,72.49,188-108,5
"50,500",2015,공덕동,공덕2삼성래미안,1,84.94,43,2
"40,500",2015,공덕동,공덕현대,1,84.61,370-9,8
"49,400",2015,공덕동,공덕3삼성래미안,1,59.97,457,4
"45,400",2015,공덕동,공덕2삼성래미안,1,59.97,43,6
"29,500",2015,공덕동,마포현대,1,54.81,188-108,7
"47,000",2015,공덕동,래미안공덕4차,1,59.9,464,6
"53,300",2015,공덕동,래미안공덕5차,1,59.959,469,7
"42,000",2015,공덕동,공덕1삼성래미안,1,59.74,371,16
"72,500",2015,공덕동,래미안공덕5차,1,84.871,469,9
"63,000",2015,공덕동,래미안공덕5차,1,84.859,469,2
"52,400",2015,공덕동,공덕2삼성래미안,1,84.94,43,16
"50,000",2015,공덕동,래미안공덕4차,1,59.9,464,7
"41,300",2015,공덕동,공덕1삼성래미안,1,59.74,371,15
"31,750",2015,공덕동,마포현대,1,59.95,188-108,14
"53,000",2015,공덕동,래미안공덕5차,1,59.959,469,5
"59,500",2015,공덕동,래미안공덕4차,1,83.42,464,5
"44,600",2015,공덕동,공덕2삼성래미안,1,59.97,43,16
"66,000",2015,공덕동,래미안공덕5차,1,84.871,469,4
"53,500",2015,공덕동,공덕2삼성래미안,1,84.94,43,13
"59,900",2015,공덕동,래미안공덕4차,1,83.42,464,4
"30,800",2015,공덕동,마포현대,1,54.81,188-108,15
"54,500",2015,공덕동,공덕1삼성래미안,1,84.94,371,5
"40,000",2015,공덕동,공덕1삼성래미안,1,59.74,371,4
"54,800",2015,공덕동,래미안공덕5차,1,59.968,469,12
